outcome,label,coef,se,pval,ci_lo,ci_hi,nobs,r2w,method
ncont_total_m,Contratos totales,0.08219799355272434,0.027834454840497486,0.003146333033376525,0.027643142699227637,0.13675284440622104,228440,-0.00041863551388487963,Stacked DiD
numtar_deb_m,Tarjetas débito,-0.013774155334805829,0.04518095520438161,0.7604682135179215,-0.10232772272881699,0.07477941205920532,228440,-0.00017699369317369928,Stacked DiD
numtar_cred_m,Tarjetas crédito,0.0007678072342226344,0.02118857391739928,0.9710935362385773,-0.04076127952123932,0.04229689398968459,228440,4.670086750646618e-08,Stacked DiD
numcontcred_hip_m,Créditos hipotecarios,0.019426839686890664,0.02341356227183748,0.40669472385866845,-0.026463169835793464,0.06531684920957478,228440,-4.395074510710195e-05,Stacked DiD
saldocont_total_m,Saldo total,0.2741252766001174,0.05904986993702363,3.4481961013188567e-06,0.15838897546568043,0.3898615777345543,228440,-0.000152683189307945,Stacked DiD
