window,outcome,label,coef,se,pval,ci_lo,ci_hi,nobs
"[-4, +8] (baseline)",ncont_total_m,Contratos totales,0.08219799355272434,0.027834454840497486,0.003146333033376525,0.027643142699227637,0.13675284440622104,228440
"[-4, +8] (baseline)",saldocont_total_m,Saldo total,0.2741252766001174,0.05904986993702363,3.4481961013188567e-06,0.15838897546568043,0.3898615777345543,228440
"[-3, +8]",ncont_total_m,Contratos totales,0.0784360561977913,0.027182265299066966,0.003907622949859579,0.025159453459767882,0.1317126589358147,211956
"[-3, +8]",saldocont_total_m,Saldo total,0.2724572219038556,0.058929980524472084,3.777395635617964e-06,0.15695584160243076,0.3879586022052804,211956
"[-4, +6]",ncont_total_m,Contratos totales,0.08266431492918333,0.027134176297750588,0.002315543508146334,0.029481952250924995,0.13584667760744168,204886
"[-4, +6]",saldocont_total_m,Saldo total,0.27974128999122605,0.05893185280750793,2.067552615336865e-06,0.1642362112698778,0.3952463687125743,204886
